student_id,name,class,comprehension,attention,focus,retention,engagement_time,assessment_score
S1027,Student_27,Grade 8,85.3,100.0,97.5,57.2,134.1,85.2
S1028,Student_28,Grade 8,74.0,73.0,55.3,22.8,11.6,61.0
S1029,Student_29,Grade 6,61.0,63.8,78.9,30.1,45.1,46.0
S1030,Student_30,Grade 9,88.6,94.7,65.9,43.7,49.1,72.7
S1031,Student_31,Grade 7,71.4,73.3,69.0,35.4,37.7,67.5
S1032,Student_32,Grade 6,84.2,79.7,87.9,48.5,15.0,73.9
S1033,Student_33,Grade 10,70.8,72.8,72.6,36.8,12.6,54.6
S1034,Student_34,Grade 10,94.7,100.0,73.1,33.1,36.4,77.4
S1035,Student_35,Grade 10,91.1,80.8,81.1,63.6,80.4,88.1
S1036,Student_36,Grade 7,67.0,68.3,59.5,27.3,117.3,64.0
S1037,Student_37,Grade 6,81.7,74.7,52.4,51.9,5.0,65.1
S1038,Student_38,Grade 9,77.7,89.7,49.3,71.5,6.7,75.9
S1039,Student_39,Grade 8,86.4,71.2,35.5,40.8,115.8,59.1
S1040,Student_40,Grade 6,58.4,52.8,95.8,10.0,53.4,44.1
S1041,Student_41,Grade 8,78.2,82.0,48.5,43.5,85.8,58.6
S1042,Student_42,Grade 6,82.7,98.4,61.7,62.8,9.1,84.7
S1043,Student_43,Grade 10,48.9,48.2,60.8,52.8,35.4,47.6
S1044,Student_44,Grade 7,55.8,50.2,69.6,18.7,48.3,47.4
S1045,Student_45,Grade 9,45.5,64.3,77.2,33.3,45.6,50.7
S1046,Student_46,Grade 7,66.8,52.3,77.9,34.5,21.0,68.6
S1047,Student_47,Grade 8,78.6,56.6,56.3,45.9,5.0,69.6
S1048,Student_48,Grade 8,88.0,92.4,62.5,84.5,35.0,92.4
S1049,Student_49,Grade 7,70.9,65.9,69.2,24.5,11.7,57.8
S1050,Student_50,Grade 10,89.5,79.3,61.3,56.8,23.9,73.7
S1051,Student_51,Grade 9,53.4,60.5,89.1,37.7,126.4,48.2
S1052,Student_52,Grade 10,49.6,52.0,72.4,42.8,20.4,60.1
S1053,Student_53,Grade 10,69.3,63.7,76.0,42.8,73.3,54.8
S1054,Student_54,Grade 8,74.6,61.8,74.9,48.5,8.4,65.1
S1055,Student_55,Grade 10,69.6,78.3,82.6,37.1,44.6,59.4
S1056,Student_56,Grade 6,45.2,51.7,67.7,30.3,150.9,43.3
S1057,Student_57,Grade 7,68.9,67.9,45.5,37.2,5.0,50.8
S1058,Student_58,Grade 6,54.3,72.8,71.0,40.1,5.0,53.8
S1059,Student_59,Grade 7,78.0,67.3,55.2,42.4,22.7,58.3
S1060,Student_60,Grade 8,74.4,59.1,57.1,49.2,5.0,56.3
S1061,Student_61,Grade 7,58.7,51.8,73.8,34.9,55.2,58.5
S1062,Student_62,Grade 10,63.8,63.4,83.6,51.8,98.4,56.0
S1063,Student_63,Grade 8,57.3,59.7,65.3,33.8,22.8,54.4
S1064,Student_64,Grade 7,69.2,66.8,69.6,20.3,12.0,65.2
S1065,Student_65,Grade 8,81.5,85.0,90.5,64.0,22.8,74.4
S1066,Student_66,Grade 6,58.2,45.7,68.6,24.0,51.4,44.8
S1067,Student_67,Grade 10,76.0,90.5,100.0,37.8,5.0,73.5
S1068,Student_68,Grade 6,63.6,62.8,73.5,31.0,35.6,64.4
S1069,Student_69,Grade 10,60.5,71.7,38.6,52.8,38.0,55.9
S1070,Student_70,Grade 9,68.7,72.1,76.3,15.6,40.6,56.5
S1071,Student_71,Grade 7,57.6,62.1,70.7,72.2,11.1,63.6
S1072,Student_72,Grade 6,63.4,69.1,84.3,50.7,50.1,57.3
S1073,Student_73,Grade 10,55.6,60.1,75.1,36.1,5.0,59.0
S1074,Student_74,Grade 9,93.6,100.0,62.9,55.5,8.9,81.1
S1075,Student_75,Grade 9,70.4,83.7,46.6,45.7,84.0,59.9
S1076,Student_76,Grade 9,61.6,63.6,61.9,43.2,53.7,51.3
S1077,Student_77,Grade 6,72.6,79.7,52.2,51.3,5.0,58.1
S1078,Student_78,Grade 8,68.7,67.8,56.3,47.9,11.4,62.6
S1079,Student_79,Grade 6,67.3,81.7,73.8,41.5,9.7,72.4
S1080,Student_80,Grade 10,77.4,70.6,90.0,44.1,12.6,65.5
S1081,Student_81,Grade 9,79.1,97.1,70.9,45.6,11.4,75.7
S1082,Student_82,Grade 7,63.6,63.2,47.1,35.8,5.0,40.3
S1083,Student_83,Grade 6,63.1,48.8,71.7,51.5,24.6,52.8
S1084,Student_84,Grade 7,66.7,68.0,82.9,47.1,52.8,63.8
S1085,Student_85,Grade 7,42.4,35.6,55.9,10.0,37.3,30.9
S1086,Student_86,Grade 9,51.8,60.2,63.0,39.0,44.7,46.0
S1087,Student_87,Grade 9,86.4,79.9,65.2,54.2,5.0,67.4
S1088,Student_88,Grade 10,89.7,85.3,53.2,53.6,121.0,73.2
S1089,Student_89,Grade 8,67.0,48.1,74.7,35.5,72.9,54.6
S1090,Student_90,Grade 6,76.9,72.4,63.2,59.6,65.4,53.2
S1091,Student_91,Grade 9,73.7,49.5,71.3,55.6,69.3,48.1
S1092,Student_92,Grade 9,100.0,84.2,51.7,50.7,108.0,70.3
S1093,Student_93,Grade 8,83.4,91.0,58.4,54.9,31.4,74.6
S1094,Student_94,Grade 9,68.5,76.3,75.8,29.4,8.9,46.1
S1095,Student_95,Grade 8,58.5,62.8,59.4,18.6,38.4,47.9
S1096,Student_96,Grade 8,50.7,41.1,90.9,22.9,54.3,46.5
S1097,Student_97,Grade 8,72.4,72.0,59.0,53.8,53.6,71.5
S1098,Student_98,Grade 6,60.9,60.9,68.4,48.0,29.5,55.1
S1099,Student_99,Grade 6,52.9,41.3,79.0,37.9,5.0,52.6
S1100,Student_100,Grade 6,62.2,77.3,43.7,46.0,18.6,57.6
S1101,Student_101,Grade 9,57.0,65.8,38.6,40.4,101.4,37.4
S1102,Student_102,Grade 7,90.2,88.0,42.1,46.4,35.1,73.6
S1103,Student_103,Grade 8,80.6,80.8,83.9,53.5,30.9,74.5
S1104,Student_104,Grade 10,69.9,72.0,56.7,51.5,12.5,64.6
S1105,Student_105,Grade 7,87.8,67.3,100.0,61.7,18.4,100.0
S1106,Student_106,Grade 8,70.9,68.5,56.5,56.8,90.3,49.3
S1107,Student_107,Grade 9,59.7,52.8,67.8,44.3,43.9,64.6
S1108,Student_108,Grade 7,88.3,78.3,88.1,57.2,61.9,74.9
S1109,Student_109,Grade 6,76.5,73.7,95.1,58.7,24.2,74.7
S1110,Student_110,Grade 7,57.6,75.5,95.9,34.2,39.8,63.1
S1111,Student_111,Grade 7,67.7,74.1,83.1,30.0,11.4,60.8
S1112,Student_112,Grade 10,59.5,53.8,80.4,33.7,48.9,52.0
S1113,Student_113,Grade 10,53.4,59.1,73.9,23.1,22.3,53.7
S1114,Student_114,Grade 9,81.1,95.1,76.7,40.6,23.4,64.5
S1115,Student_115,Grade 10,92.9,100.0,56.7,54.0,41.9,81.5
S1116,Student_116,Grade 10,53.2,53.8,52.7,22.4,110.1,43.5
S1117,Student_117,Grade 7,76.8,70.3,64.9,42.4,5.0,57.0
S1118,Student_118,Grade 10,62.2,69.2,62.4,14.6,69.7,51.0
S1119,Student_119,Grade 8,64.2,68.1,58.2,41.1,13.8,64.8
S1120,Student_120,Grade 10,62.9,71.8,75.4,37.7,23.5,57.5
S1121,Student_121,Grade 10,59.6,66.0,79.3,26.0,5.0,59.3
S1122,Student_122,Grade 7,70.6,81.1,66.3,50.3,14.3,61.4
S1123,Student_123,Grade 6,60.0,54.7,87.2,47.3,27.9,63.7
S1124,Student_124,Grade 7,73.2,86.4,47.9,24.7,5.0,64.6
S1125,Student_125,Grade 8,69.4,71.4,62.1,32.5,27.0,70.5
S1126,Student_126,Grade 10,67.1,87.9,54.2,31.0,104.8,59.9
S1127,Student_127,Grade 10,59.1,52.2,37.0,24.2,5.0,48.8
S1128,Student_128,Grade 6,63.1,80.4,63.8,47.8,57.8,62.7
S1129,Student_129,Grade 8,79.1,81.0,63.2,45.1,21.1,75.1
S1130,Student_130,Grade 8,76.0,69.5,87.7,42.4,42.6,63.6
S1131,Student_131,Grade 7,58.3,53.4,74.5,10.9,12.1,54.8
S1132,Student_132,Grade 6,71.2,68.0,49.6,50.3,6.9,58.2
S1133,Student_133,Grade 7,79.0,83.3,92.8,32.5,7.0,71.5
S1134,Student_134,Grade 10,50.0,55.2,83.3,30.7,5.0,53.1
S1135,Student_135,Grade 7,76.5,70.8,73.7,49.2,8.2,68.1
S1136,Student_136,Grade 8,62.0,61.8,61.6,53.6,43.7,56.8
S1137,Student_137,Grade 9,76.8,98.3,50.6,30.4,85.4,67.4
S1138,Student_138,Grade 8,60.8,78.1,59.4,10.0,67.3,63.7
S1139,Student_139,Grade 10,48.3,52.7,81.3,31.2,46.2,57.0
S1140,Student_140,Grade 10,50.5,50.8,93.3,51.9,5.0,62.0
S1141,Student_141,Grade 7,70.6,71.8,88.1,57.2,13.7,66.1
S1142,Student_142,Grade 8,73.1,79.3,57.7,46.4,14.8,58.6
S1143,Student_143,Grade 7,59.1,48.9,48.2,29.6,11.5,52.7
S1144,Student_144,Grade 7,77.7,75.1,67.1,56.3,28.9,73.1
S1145,Student_145,Grade 6,50.1,33.4,38.5,18.4,30.7,45.1
S1146,Student_146,Grade 9,69.2,73.2,69.8,47.2,17.7,60.0
S1147,Student_147,Grade 8,55.5,61.9,62.8,39.3,17.5,52.0
S1148,Student_148,Grade 6,62.2,57.3,58.0,50.0,70.5,45.4
S1149,Student_149,Grade 7,70.6,86.3,41.1,75.5,62.3,63.5
S1150,Student_150,Grade 10,59.7,47.4,72.7,40.5,14.7,59.3
S1151,Student_151,Grade 7,65.4,50.7,57.0,33.1,98.0,49.1
S1152,Student_152,Grade 6,82.1,84.3,47.5,48.9,122.1,70.5
S1153,Student_153,Grade 8,63.1,73.5,21.9,16.6,15.8,46.2
S1154,Student_154,Grade 10,80.0,96.9,64.6,39.7,17.5,73.0
S1155,Student_155,Grade 7,56.4,51.9,91.6,29.0,28.2,48.5
S1156,Student_156,Grade 9,76.4,87.1,89.9,39.5,113.3,72.9
S1157,Student_157,Grade 9,87.3,86.9,58.1,54.2,83.6,54.1
S1158,Student_158,Grade 7,40.3,38.6,56.0,14.3,5.0,36.0
S1159,Student_159,Grade 9,60.4,69.3,72.0,49.7,20.0,50.6
S1160,Student_160,Grade 8,76.9,83.4,50.0,46.2,32.2,72.0
S1161,Student_161,Grade 9,67.6,51.8,69.5,40.4,28.0,61.2
S1162,Student_162,Grade 9,74.5,89.2,76.5,40.7,8.6,72.6
S1163,Student_163,Grade 8,62.8,76.6,83.4,39.5,78.3,72.8
S1164,Student_164,Grade 6,71.0,64.8,63.5,52.5,45.2,55.9
S1165,Student_165,Grade 10,68.1,72.1,61.9,30.5,72.8,69.3
S1166,Student_166,Grade 7,84.0,89.0,51.8,42.5,78.3,74.0
S1167,Student_167,Grade 7,73.1,75.7,52.6,40.2,55.2,59.6
S1168,Student_168,Grade 6,74.1,68.5,61.6,28.3,23.1,66.4
S1169,Student_169,Grade 8,65.1,58.3,70.5,29.2,37.7,49.2
S1170,Student_170,Grade 9,64.1,63.9,78.7,32.8,7.0,54.1
S1171,Student_171,Grade 6,64.8,76.5,53.0,49.4,44.8,56.2
S1172,Student_172,Grade 8,74.7,80.2,87.4,48.0,7.9,67.7
S1173,Student_173,Grade 7,64.9,61.2,60.9,41.3,47.4,50.1
S1174,Student_174,Grade 9,73.5,81.2,64.7,54.3,10.4,74.4
S1175,Student_175,Grade 7,94.9,66.4,53.8,55.3,5.0,67.3
S1176,Student_176,Grade 9,80.5,91.9,28.6,53.0,7.2,66.9
S1177,Student_177,Grade 8,66.1,48.7,78.3,38.4,5.0,53.3
S1178,Student_178,Grade 10,84.4,80.8,76.1,53.8,50.7,62.1
S1179,Student_179,Grade 6,65.1,53.9,60.8,32.1,52.7,54.8
S1180,Student_180,Grade 7,45.5,32.6,66.0,10.0,28.9,27.3
S1181,Student_181,Grade 6,57.9,69.5,72.7,33.1,7.0,56.7
S1182,Student_182,Grade 10,47.6,42.9,41.6,45.6,5.0,34.3
S1183,Student_183,Grade 10,65.8,69.2,57.1,50.6,5.0,71.3
S1184,Student_184,Grade 7,70.2,69.8,76.9,53.7,7.2,70.9
S1185,Student_185,Grade 9,90.1,94.9,46.2,68.9,88.6,75.5
S1186,Student_186,Grade 10,73.9,74.7,69.4,45.4,11.1,72.8
S1187,Student_187,Grade 8,67.4,54.5,44.7,42.8,17.5,47.5
S1188,Student_188,Grade 8,80.0,89.9,72.0,40.6,5.0,74.2
S1189,Student_189,Grade 7,43.5,38.5,64.5,22.3,10.1,42.3
S1190,Student_190,Grade 6,72.8,57.3,40.8,51.1,29.3,57.2
S1191,Student_191,Grade 10,79.3,75.0,82.5,62.0,37.4,79.9
S1192,Student_192,Grade 10,52.3,67.3,54.0,29.7,11.3,54.7
S1193,Student_193,Grade 9,83.7,92.2,52.8,44.8,5.0,71.4
S1194,Student_194,Grade 7,74.1,70.6,68.0,44.4,19.8,53.9
S1195,Student_195,Grade 7,65.0,61.5,82.2,46.2,10.7,55.8
S1196,Student_196,Grade 9,77.6,74.4,49.8,29.2,9.9,59.4
S1197,Student_197,Grade 10,97.2,100.0,65.9,30.8,128.6,77.4
S1198,Student_198,Grade 10,72.2,76.0,71.4,36.7,38.3,57.3
S1199,Student_199,Grade 9,73.0,77.3,75.4,29.1,32.6,78.8
S1200,Student_200,Grade 9,64.5,74.8,67.6,32.6,21.5,68.8
S1201,Student_201,Grade 6,59.8,62.2,59.5,34.1,22.4,57.1
S1202,Student_202,Grade 7,80.0,77.4,52.6,42.5,31.1,64.7
S1203,Student_203,Grade 10,59.7,57.8,66.3,53.3,47.7,55.3
S1204,Student_204,Grade 9,70.9,70.1,48.9,46.4,48.4,53.4
S1205,Student_205,Grade 6,64.3,63.9,21.2,42.2,7.5,49.5
S1206,Student_206,Grade 6,75.7,83.0,71.5,52.9,27.7,71.1
S1207,Student_207,Grade 9,74.0,74.5,78.6,30.7,21.2,57.4
S1208,Student_208,Grade 6,82.5,89.8,29.6,61.9,81.8,68.5
S1209,Student_209,Grade 7,63.9,63.1,49.9,37.4,39.9,52.8
S1210,Student_210,Grade 8,66.8,67.5,74.3,48.1,30.4,50.9
S1211,Student_211,Grade 9,58.3,38.3,95.9,22.1,5.0,47.3
S1212,Student_212,Grade 9,64.7,73.8,65.3,20.2,37.2,54.7
S1213,Student_213,Grade 7,74.5,78.0,54.1,54.5,5.0,75.9
S1214,Student_214,Grade 9,79.1,89.1,62.3,52.0,16.5,73.5
S1215,Student_215,Grade 7,58.9,30.0,85.6,24.5,6.2,40.9
S1216,Student_216,Grade 7,80.4,100.0,55.3,37.8,47.1,72.8
S1217,Student_217,Grade 9,86.3,84.9,53.0,65.3,9.2,62.5
S1218,Student_218,Grade 9,75.0,86.0,57.8,30.7,19.9,70.4
S1219,Student_219,Grade 10,92.5,82.1,50.7,75.2,90.4,71.5
S1220,Student_220,Grade 9,60.7,66.8,66.8,25.6,9.1,54.6
S1221,Student_221,Grade 8,55.1,44.5,89.4,40.7,28.4,62.3
S1222,Student_222,Grade 6,48.7,42.4,69.8,25.2,21.7,37.7
S1223,Student_223,Grade 8,88.0,100.0,61.2,60.0,5.0,68.6
S1224,Student_224,Grade 7,77.9,75.9,60.6,40.2,63.0,60.9
S1225,Student_225,Grade 7,69.3,71.5,41.6,39.6,5.0,62.6
S1226,Student_226,Grade 10,73.4,82.1,78.2,44.5,25.7,59.4
S1227,Student_227,Grade 8,56.5,61.5,63.8,21.9,32.9,34.2
S1228,Student_228,Grade 10,99.3,100.0,62.3,68.5,39.6,79.8
S1229,Student_229,Grade 9,71.6,75.2,100.0,36.8,46.7,72.7
S1230,Student_230,Grade 9,71.3,95.3,69.5,40.0,11.7,75.9
S1231,Student_231,Grade 8,78.7,78.1,53.7,35.3,5.0,60.3
S1232,Student_232,Grade 8,75.8,77.8,58.6,14.7,51.4,57.4
S1233,Student_233,Grade 8,72.7,83.2,82.2,41.3,30.7,75.8
S1234,Student_234,Grade 7,60.5,71.6,66.7,65.3,72.3,51.0
S1235,Student_235,Grade 9,75.7,87.5,43.4,54.8,68.9,62.9
S1236,Student_236,Grade 7,92.6,99.0,78.8,55.3,74.1,82.3
S1237,Student_237,Grade 6,86.1,74.7,55.0,48.5,26.6,69.8
S1238,Student_238,Grade 9,89.1,100.0,93.1,53.7,16.2,79.8
S1239,Student_239,Grade 7,63.9,52.4,81.2,44.9,62.7,58.6
S1240,Student_240,Grade 10,58.1,61.2,58.3,20.7,24.0,35.5
S1241,Student_241,Grade 10,68.5,60.9,84.2,54.5,8.1,60.3
S1242,Student_242,Grade 10,70.7,70.0,66.0,51.0,77.2,65.8
S1243,Student_243,Grade 8,83.1,86.4,77.8,58.5,85.7,69.1
S1244,Student_244,Grade 6,49.7,52.9,72.3,35.1,25.1,50.7
S1245,Student_245,Grade 10,88.4,92.6,52.3,53.2,5.0,75.2
S1246,Student_246,Grade 8,68.1,84.2,55.3,48.9,19.6,61.3
S1247,Student_247,Grade 10,64.9,69.4,80.4,46.0,65.1,64.1
S1248,Student_248,Grade 10,57.9,55.4,60.0,30.5,92.8,44.9
S1249,Student_249,Grade 10,50.1,59.8,58.9,23.2,9.1,46.5
S1250,Student_250,Grade 7,79.9,91.8,50.7,49.1,5.0,72.1
S1251,Student_251,Grade 8,70.9,58.6,71.4,61.1,83.9,63.8
S1252,Student_252,Grade 10,54.5,60.5,95.9,17.8,19.7,52.6
S1253,Student_253,Grade 7,54.5,61.5,49.0,15.1,31.2,47.8
S1254,Student_254,Grade 7,66.0,63.0,65.4,41.6,137.8,62.4
S1255,Student_255,Grade 8,90.0,100.0,86.2,54.6,5.0,69.6
S1256,Student_256,Grade 10,66.9,65.4,63.8,42.2,41.8,65.8
S1257,Student_257,Grade 9,52.0,53.2,71.8,34.1,5.0,48.9
S1258,Student_258,Grade 8,67.1,65.3,49.1,37.6,18.8,57.8
S1259,Student_259,Grade 6,66.7,66.9,71.4,57.9,65.1,70.2
S1260,Student_260,Grade 9,37.6,26.7,62.2,10.0,22.7,25.6
S1261,Student_261,Grade 10,69.3,54.9,79.8,31.7,234.9,54.5
S1262,Student_262,Grade 6,67.2,83.2,82.8,39.1,32.8,65.0
S1263,Student_263,Grade 8,78.4,69.9,100.0,27.3,15.5,64.3
S1264,Student_264,Grade 10,92.2,82.3,73.7,53.2,9.9,86.0
S1265,Student_265,Grade 9,83.5,62.0,69.9,70.0,17.3,64.1
S1266,Student_266,Grade 9,66.8,60.4,67.9,40.3,18.6,54.8
S1267,Student_267,Grade 9,56.7,43.5,59.7,36.8,5.0,49.4
S1268,Student_268,Grade 8,100.0,100.0,70.1,44.9,18.5,73.5
S1269,Student_269,Grade 7,70.7,80.8,60.6,35.0,25.0,59.9
S1270,Student_270,Grade 10,70.2,63.3,67.5,37.6,51.3,61.4
S1271,Student_271,Grade 10,69.7,92.2,84.8,38.0,42.8,68.1
S1272,Student_272,Grade 10,72.4,82.2,49.9,58.8,49.3,64.1
S1273,Student_273,Grade 10,68.3,65.0,82.1,47.7,5.0,60.5
S1274,Student_274,Grade 8,63.1,38.1,84.8,24.5,9.8,43.2
S1275,Student_275,Grade 8,63.4,86.3,63.2,41.0,43.4,64.5
S1276,Student_276,Grade 9,69.6,55.7,33.2,47.7,26.5,62.6
S1277,Student_277,Grade 9,63.5,47.0,55.9,51.8,5.0,53.0
S1278,Student_278,Grade 9,61.4,71.7,84.5,55.8,65.3,66.0
S1279,Student_279,Grade 9,71.3,95.7,64.7,30.6,59.3,70.5
S1280,Student_280,Grade 10,66.9,80.8,50.0,30.4,31.8,50.6
S1281,Student_281,Grade 7,88.0,93.7,57.4,37.7,5.0,81.6
S1282,Student_282,Grade 8,38.2,44.1,77.6,20.1,58.2,44.2
S1283,Student_283,Grade 6,83.1,91.6,73.2,55.5,35.1,84.7
S1284,Student_284,Grade 8,85.0,92.5,61.4,62.8,60.9,70.2
S1285,Student_285,Grade 6,45.1,47.9,59.5,26.2,55.7,54.5
S1286,Student_286,Grade 8,65.9,66.9,59.1,35.7,65.0,61.6
S1287,Student_287,Grade 8,65.5,64.9,51.2,41.1,29.2,58.9
S1288,Student_288,Grade 7,53.1,45.6,89.2,21.8,6.0,52.5
S1289,Student_289,Grade 8,60.7,57.9,60.2,61.5,44.5,55.5
S1290,Student_290,Grade 6,56.7,39.7,83.3,14.7,38.8,55.8
S1291,Student_291,Grade 6,91.0,90.0,87.8,56.8,54.2,81.3
S1292,Student_292,Grade 10,81.2,71.3,80.0,73.0,7.4,61.4
S1293,Student_293,Grade 8,85.3,74.2,58.5,51.2,8.7,61.1
S1294,Student_294,Grade 6,78.7,80.5,71.1,44.9,88.4,67.5
S1295,Student_295,Grade 8,56.5,70.4,64.6,29.6,55.4,56.6
S1296,Student_296,Grade 9,63.7,72.9,51.4,36.1,95.5,55.9
S1297,Student_297,Grade 7,75.9,60.2,69.9,62.0,56.9,72.2
S1298,Student_298,Grade 9,55.3,45.4,47.3,10.0,36.4,30.0
S1299,Student_299,Grade 6,78.6,88.0,82.8,65.5,42.5,76.7
S1300,Student_300,Grade 6,67.1,57.3,58.0,23.2,88.0,42.0
S1301,Student_301,Grade 8,65.5,63.3,68.0,36.1,34.6,62.3
S1302,Student_302,Grade 8,78.5,84.0,69.2,42.0,40.0,68.1
S1303,Student_303,Grade 9,75.3,65.6,61.1,52.3,6.8,65.4
S1304,Student_304,Grade 9,65.7,66.7,73.8,20.2,25.7,52.3
S1305,Student_305,Grade 10,83.9,70.6,57.9,55.9,50.4,74.6
S1306,Student_306,Grade 8,57.0,51.0,78.1,58.5,12.6,63.4
S1307,Student_307,Grade 7,77.4,80.6,44.8,30.1,9.0,64.2
S1308,Student_308,Grade 9,77.1,61.2,66.9,48.5,15.1,62.2
S1309,Student_309,Grade 7,66.3,70.7,94.1,31.8,11.1,67.9
S1310,Student_310,Grade 8,73.9,73.7,50.0,49.5,9.7,57.5
S1311,Student_311,Grade 6,55.0,60.5,54.8,33.2,22.1,55.5
S1312,Student_312,Grade 6,81.1,83.3,72.7,41.0,95.4,79.8
S1313,Student_313,Grade 10,67.8,81.4,67.7,46.5,28.3,71.0
S1314,Student_314,Grade 10,63.7,65.0,70.3,59.9,8.3,57.2
S1315,Student_315,Grade 9,82.6,78.3,72.3,47.3,5.0,72.2
S1316,Student_316,Grade 8,61.5,62.8,74.5,45.6,47.6,51.2
S1317,Student_317,Grade 7,53.1,58.5,81.6,16.3,19.3,55.4
S1318,Student_318,Grade 7,51.3,51.8,71.1,19.3,69.0,50.7
S1319,Student_319,Grade 7,77.3,77.7,61.4,52.0,43.1,55.3
S1320,Student_320,Grade 8,54.6,47.6,75.1,50.6,63.6,46.7
S1321,Student_321,Grade 9,91.1,84.4,93.5,58.9,12.7,78.8
S1322,Student_322,Grade 9,45.0,31.0,63.0,23.3,47.2,37.8
S1323,Student_323,Grade 7,90.4,100.0,50.4,54.2,12.3,67.6
S1324,Student_324,Grade 10,72.5,60.1,81.6,28.5,111.9,63.3
S1325,Student_325,Grade 9,68.8,61.9,63.2,48.6,40.5,61.0
S1326,Student_326,Grade 8,63.5,56.3,32.4,48.7,15.7,48.9
S1327,Student_327,Grade 9,74.8,83.7,77.7,39.4,12.6,64.0
S1328,Student_328,Grade 8,69.5,66.6,57.0,36.1,8.5,64.1
S1329,Student_329,Grade 7,83.2,95.7,63.6,53.1,47.5,83.7
S1330,Student_330,Grade 8,71.4,64.6,70.0,37.6,9.9,57.9
S1331,Student_331,Grade 9,71.8,74.6,67.9,42.3,36.2,60.0
S1332,Student_332,Grade 6,65.6,57.3,75.6,64.6,12.3,65.1
S1333,Student_333,Grade 6,69.3,90.8,58.5,38.6,43.4,62.3
S1334,Student_334,Grade 6,73.7,61.8,72.7,39.9,67.5,60.9
S1335,Student_335,Grade 6,49.5,52.6,61.1,21.9,60.2,50.4
S1336,Student_336,Grade 10,53.8,60.2,76.1,41.2,57.2,43.8
S1337,Student_337,Grade 9,78.9,83.1,74.2,45.2,8.3,77.9
S1338,Student_338,Grade 8,72.1,70.2,51.0,35.4,5.0,58.7
S1339,Student_339,Grade 6,67.8,66.5,81.3,56.5,48.0,62.6
S1340,Student_340,Grade 8,70.2,70.7,57.0,59.2,18.4,62.0
S1341,Student_341,Grade 8,74.2,72.7,77.1,37.3,22.6,64.9
S1342,Student_342,Grade 7,63.5,73.2,70.5,15.7,5.0,46.6
S1343,Student_343,Grade 8,60.7,82.8,92.6,48.5,12.0,76.7
S1344,Student_344,Grade 8,72.4,66.8,61.6,35.2,5.0,59.9
S1345,Student_345,Grade 9,58.3,44.6,59.8,44.4,84.5,52.8
S1346,Student_346,Grade 9,74.9,74.0,64.7,21.3,11.2,66.6
S1347,Student_347,Grade 6,49.6,75.4,60.5,40.5,32.6,48.2
S1348,Student_348,Grade 8,82.3,74.3,77.0,34.9,5.0,70.9
S1349,Student_349,Grade 9,75.7,92.1,40.8,54.2,44.0,64.2
S1350,Student_350,Grade 8,73.1,89.8,49.2,44.0,15.6,69.6
S1351,Student_351,Grade 10,81.8,76.3,49.0,37.6,91.3,50.4
S1352,Student_352,Grade 9,90.0,95.7,79.3,49.1,87.6,78.0
S1353,Student_353,Grade 7,82.2,98.5,90.7,57.5,15.7,76.5
S1354,Student_354,Grade 6,47.9,44.1,63.4,30.0,92.5,47.6
S1355,Student_355,Grade 9,54.6,52.6,62.5,39.8,222.5,53.6
S1356,Student_356,Grade 6,62.5,56.7,66.1,61.2,69.8,54.2
